,0
0,Alaska
1,Arizona
2,California
3,Colorado
4,Connecticut
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,Ohio
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,Tennessee
30,Utah
31,Vermont
32,Virginia
33,West Virginia
34,Wisconsin
35,Wyoming
